Date,Unemployment,Inflation,GDP
1961-01-01,6.80,1.50,0.44
1961-04-01,7.00,0.90,2.67
1961-07-01,6.77,1.27,4.04
1961-10-01,6.20,0.70,7.48
1962-01-01,5.63,0.90,8.99
1962-04-01,5.53,1.30,8.07
1962-07-01,5.57,1.20,7.29
1962-10-01,5.53,1.30,5.45
1963-01-01,5.77,1.20,4.66
1963-04-01,5.73,1.10,4.89
1963-07-01,5.50,1.20,5.82
1963-10-01,5.57,1.40,6.80
1964-01-01,5.47,1.50,7.75
1964-04-01,5.20,1.30,7.77
1964-07-01,5.00,1.20,7.38
1964-10-01,4.97,1.10,6.63
1965-01-01,4.90,1.10,7.16
1965-04-01,4.67,1.70,7.59
1965-07-01,4.37,1.70,8.28
1965-10-01,4.10,1.80,10.69
1966-01-01,3.87,2.37,10.86
1966-04-01,3.83,2.77,10.24
1966-07-01,3.77,3.27,9.38
1966-10-01,3.70,3.70,7.96
1967-01-01,3.83,3.03,6.09
1967-04-01,3.83,2.70,5.47
1967-07-01,3.80,2.67,5.56
1967-10-01,3.90,2.70,5.78
1968-01-01,3.73,3.83,7.73
1968-04-01,3.57,4.00,10.05
1968-07-01,3.53,4.50,9.89
1968-10-01,3.40,4.70,9.82
1969-01-01,3.40,4.77,9.23
1969-04-01,3.43,5.50,7.99
1969-07-01,3.57,5.60,8.32
1969-10-01,3.57,5.93,7.24
1970-01-01,4.17,6.03,5.83
1970-04-01,4.77,6.03,5.78
1970-07-01,5.17,5.70,5.45
1970-10-01,5.83,5.60,4.86
1971-01-01,5.93,5.00,7.99
1971-04-01,5.90,4.40,8.33
1971-07-01,6.03,4.37,8.44
1971-10-01,5.93,3.47,9.34
1972-01-01,5.77,3.43,8.41
1972-04-01,5.70,3.13,9.52
1972-07-01,5.57,3.00,9.59
1972-10-01,5.37,3.50,11.64
1973-01-01,4.93,4.03,11.94
1973-04-01,4.93,5.53,11.65
1973-07-01,4.80,6.83,11.10
1973-10-01,4.77,8.27,11.09
1974-01-01,5.13,9.93,8.26
1974-04-01,5.20,10.57,8.22
1974-07-01,5.63,11.43,8.80
1974-10-01,6.60,12.20,8.36
1975-01-01,8.27,11.10,8.38
1975-04-01,8.87,9.70,7.96
1975-07-01,8.47,8.73,9.60
1975-10-01,8.30,7.23,10.14
1976-01-01,7.73,6.37,12.65
1976-04-01,7.57,6.07,12.14
1976-07-01,7.73,5.53,10.34
1976-10-01,7.77,5.10,9.79
1977-01-01,7.50,5.83,9.24
1977-04-01,7.13,6.87,10.99
1977-07-01,6.90,6.67,12.29
1977-10-01,6.67,6.60,11.89
1978-01-01,6.33,6.60,10.77
1978-04-01,6.00,6.97,13.41
1978-07-01,6.03,7.93,13.06
1978-10-01,5.90,8.93,14.45
1979-01-01,5.87,9.77,14.70
1979-04-01,5.70,10.77,11.13
1979-07-01,5.87,11.77,11.38
1979-10-01,5.97,12.67,9.97
1980-01-01,6.30,14.30,10.42
1980-04-01,7.33,14.50,7.95
1980-07-01,7.67,12.87,7.08
1980-10-01,7.40,12.63,9.61
1981-01-01,7.43,11.23,11.99
1981-04-01,7.40,9.80,13.05
1981-07-01,7.40,10.87,14.15
1981-10-01,8.23,9.53,9.89
1982-01-01,8.83,7.60,4.80
1982-04-01,9.43,6.77,5.36
1982-07-01,9.90,5.77,3.24
1982-10-01,10.67,4.50,3.71
1983-01-01,10.37,3.60,6.08
1983-04-01,10.13,3.33,7.41
1983-07-01,9.37,2.67,9.59
1983-10-01,8.53,3.33,11.53
1984-01-01,7.87,4.53,12.51
1984-04-01,7.43,4.33,12.04
1984-07-01,7.43,4.27,10.71
1984-10-01,7.30,4.10,9.32
1985-01-01,7.23,3.57,8.24
1985-04-01,7.30,3.77,7.12
1985-07-01,7.20,3.33,7.41
1985-10-01,7.03,3.50,7.12
1986-01-01,7.03,3.10,6.57
1986-04-01,7.17,1.63,5.83
1986-07-01,6.97,1.67,5.04
1986-10-01,6.83,1.30,4.80
1987-01-01,6.60,2.20,4.75
1987-04-01,6.27,3.80,5.74
1987-07-01,6.00,4.20,6.01
1987-10-01,5.83,4.47,7.52
1988-01-01,5.70,3.93,7.44
1988-04-01,5.47,3.93,7.99
1988-07-01,5.47,4.10,8.15
1988-10-01,5.33,4.27,7.82
1989-01-01,5.20,4.83,8.63
1989-04-01,5.23,5.23,8.14
1989-07-01,5.23,4.67,7.81
1989-10-01,5.37,4.60,6.44
1990-01-01,5.30,5.23,6.56
1990-04-01,5.33,4.60,6.19
1990-07-01,5.70,5.53,5.61
1990-10-01,6.13,6.23,4.48
1991-01-01,6.60,5.30,2.77
1991-04-01,6.83,4.87,2.80
1991-07-01,6.87,3.87,3.17
1991-10-01,7.10,3.00,4.33
1992-01-01,7.37,2.87,5.43
1992-04-01,7.60,3.10,5.61
1992-07-01,7.63,3.10,5.81
1992-10-01,7.37,3.03,6.64
1993-01-01,7.13,3.20,5.76
1993-04-01,7.07,3.13,5.23
1993-07-01,6.80,2.77,4.80
1993-10-01,6.63,2.73,4.98
1994-01-01,6.57,2.50,5.74
1994-04-01,6.20,2.40,6.43
1994-07-01,6.00,2.90,6.52
1994-10-01,5.63,2.67,6.30
1995-01-01,5.47,2.87,5.71
1995-04-01,5.67,3.10,4.61
1995-07-01,5.67,2.63,4.80
1995-10-01,5.57,2.63,4.26
1996-01-01,5.53,2.73,4.60
1996-04-01,5.50,2.87,5.96
1996-07-01,5.27,2.97,5.83
1996-10-01,5.33,3.20,6.27
1997-01-01,5.23,2.93,6.28
1997-04-01,5.00,2.33,6.05
1997-07-01,4.87,2.20,6.54
1997-10-01,4.67,1.87,6.13
1998-01-01,4.63,1.47,6.02
1998-04-01,4.40,1.60,5.29
1998-07-01,4.53,1.60,5.29
1998-10-01,4.43,1.53,6.02
1999-01-01,4.30,1.67,6.21
1999-04-01,4.27,2.13,6.18
1999-07-01,4.23,2.33,6.15
1999-10-01,4.07,2.63,6.51
2000-01-01,4.03,3.23,6.22
2000-04-01,3.93,3.33,7.60
2000-07-01,4.00,3.53,6.59
2000-10-01,3.90,3.40,5.45
2001-01-01,4.23,3.37,4.70
2001-04-01,4.40,3.37,3.42
2001-07-01,4.83,2.67,2.68
2001-10-01,5.50,1.87,2.12
2002-01-01,5.70,1.23,3.02
2002-04-01,5.83,1.30,2.79
2002-07-01,5.73,1.60,3.73
2002-10-01,5.87,2.20,3.86
2003-01-01,5.87,2.87,3.66
2003-04-01,6.13,2.13,3.85
2003-07-01,6.13,2.20,5.23
2003-10-01,5.83,1.90,6.30
2004-01-01,5.70,1.77,6.59
2004-04-01,5.60,2.90,7.04
2004-07-01,5.43,2.73,6.36
2004-10-01,5.43,3.33,6.40
2005-01-01,5.30,3.03,7.06
2005-04-01,5.10,2.93,6.62
2005-07-01,4.97,3.83,6.82
2005-10-01,4.97,3.73,6.47
2006-01-01,4.73,3.67,6.60
2006-04-01,4.63,4.00,6.50
2006-07-01,4.63,3.33,5.51
2006-10-01,4.43,1.93,5.29
2007-01-01,4.50,2.43,4.44
2007-04-01,4.50,2.67,4.60
2007-07-01,4.67,2.40,4.81
2007-10-01,4.80,3.97,4.59
2008-01-01,5.00,4.10,3.11
2008-04-01,5.33,4.37,2.94
2008-07-01,6.00,5.30,2.07
2008-10-01,6.87,1.63,-0.83
2009-01-01,8.27,-0.07,-1.75
2009-04-01,9.30,-1.13,-3.06
2009-07-01,9.63,-1.63,-2.80
2009-10-01,9.93,1.43,0.47
2010-01-01,9.83,2.33,2.27
2010-04-01,9.63,1.77,3.99
2010-07-01,9.47,1.13,4.57
2010-10-01,9.50,1.27,4.19
2011-01-01,9.03,2.13,3.83
2011-04-01,9.07,3.47,3.82
2011-07-01,9.00,3.77,3.39
2011-10-01,8.63,3.30,3.65
2012-01-01,8.27,2.83,4.80
2012-04-01,8.20,1.90,4.23
2012-07-01,8.03,1.70,4.27
2012-10-01,7.80,1.90,3.56
2013-01-01,7.73,1.70,3.43
2013-04-01,7.53,1.43,3.01
2013-07-01,7.23,1.57,3.64
2013-10-01,6.93,1.23,4.43
2014-01-01,6.67,1.40,3.23
2014-04-01,6.20,2.07,4.78
2014-07-01,6.07,1.80,5.18
2014-10-01,5.70,1.27,4.49
2015-01-01,5.53,-0.07,5.14
2015-04-01,5.43,-0.03,4.51
2015-07-01,5.10,0.13,3.52
2015-10-01,5.03,0.47,2.81
2016-01-01,4.90,1.10,2.45
2016-04-01,4.93,1.03,2.29
2016-07-01,4.90,1.13,2.52
2016-10-01,4.77,1.80,3.49
2017-01-01,4.57,2.53,4.16
2017-04-01,4.37,1.90,3.86
2017-07-01,4.33,1.93,4.28
2017-10-01,4.17,2.10,4.88
2018-01-01,4.03,2.23,5.07
2018-04-01,3.93,2.73,5.96
2018-07-01,3.77,2.63,5.80
2018-10-01,3.83,2.20,4.91
2019-01-01,3.87,1.67,4.64
2019-04-01,3.63,1.80,4.05
2019-07-01,3.60,1.73,3.82
2019-10-01,3.60,2.07,3.98
